front;back
mangiare (v.t.);to eat
manica (s.f.);sleeve
maniera (s.f.);manner
mano (s.f.);hand
mantenere (v.t.);to maintain
marca (s.f.);brand
marciapiede (s.m.);sidewalk
mare (s.m.);sea
marito (s.m.);husband
marrone (agg.);brown
martedì (s.m.);Tuesday
marzo (s.m.);March
maschile (agg.);masculine
maschio (s.m.);male
massimo (agg.);maximum
master (s.m.);master
matematica (s.f.);mathematics
materia (s.f.);subject
maternità (s.f.);maternity
matita (s.f.);pencil
matrimonio (s.m.);marriage
mattina (s.f.);morning
matto (agg.);crazy
maturità (s.f.);maturity
me (pron.);me
meccanico (s.m.);mechanical
medicina (s.f.);medicine
medico (s.m);doctor
medio (agg.);medium
meglio (avv. – agg.);better
mela (s.f.);apple
meno (avv.);less
mensa (s.f.);cafeteria
mensile (s.m.);monthly
mensola (s.f.);shelf
mente (s.f.);mind
mentre (cong.);while
menù (s.m.);menu
meraviglioso (agg.);marvelous
mercato (s.m.);market
merce (s.f.);goods
mercoledì (s.m.);Wednesday
merenda (s.f.);snack
mese (s.m.);month
messa (s.f.);mass
messaggio (s.m.);message
metallo (s.m.);metal
metodo (s.m.);method
metro (s.m.);subway
metro(politana) (s.f.);metro (politana)
metropoli (s.f.);metropolis
mettercela (v.t. pron.);put it there
mettere/si (v.t. – v.t.pron.);put/yes
metà (s.f.);half
mezzanotte (s.f.);midnight
mezzo (s.m. - agg.);means
mezzogiorno (s.m.);noon
mi (pron.);me
migliorare (v.t. - v.int.);to improve
migliore (agg.);improve
militare (agg. - s.m.);military
millimetro (s.m.);millimeter
minestra (s.f.);soup
minimo (agg.);minimum
ministro (s.m.);minister
minore (agg.);minor
minuscola (s.f.);lowercase
minuscolo (agg.);tiny
minuto (s.m.);minute
mio (agg. - pron.);my
miseria (s.f.);misery
mite (agg.);mild
mittente (s.m.);sender
mobile (s.m.);mobile
moda (s.f.);fashion
moderno (agg.);modern
modo (s.m.);way
modulo (s.m.);module
moglie (s.f.);wife
moltiplicare (v.t.);multiply
molto (agg.);very
momento (s.m.);moment
mondo (s.m.);world
moneta (s.f.);currency
monolocale (s.m.);studio apartment
montagna (s.f.);mountain
monumento (s.m.);monument
morbido (agg.);soft
morire (v. int.);to die
morte (s.f.);death
mostra (s.f.);show
mostrare (v.t.);to show
motivo (s.m.);reason
moto(cicletta) (s.f.);motorcycle)
motore (s.m.);motor
motorino (s.m.);moped
movimento (s.m.);movement
mucca (s.f.);cow
multa (s.f.);fine
municipio (s.m.);town hall
muovere/si (v.t. - v.rifl.);move/yes
mura (s.f.);walls
muro (s.m.);wall
museo (s.m.);museum
musica (s.f.);music
musicale (agg.);musical
muto (agg.);mute
mutuo (s.m.);mutual
nascere (v.int.);to be born
nascondere (v.t.);to hide
naso (s.m.);nose
natale (s.m.);christmas
natura (s.f.);nature
naturale (agg.);natural
nave (s.f.);ship
navigare (v.int.);navigate
nazionalità (s.f.);nationality
nazione (s.f.);nation
ne (part. pron.);no
neanche (avv. - cong.);not even
nebbia (s.f.);fog
necessario (agg.);necessary
negativo (agg.);negative
negozio (s.m.);shop
nemico (s.m. agg.);enemy
nemmeno (avv. - cong.);neither
nero (agg.);black
nervoso (agg.);nervous
nessuno (pron. - agg.);nobody
netto (agg.);net
neve (s.f.);snow
nevicare (v.int.);snow
niente (pron. - avv.);nothing
nipote (s.m. - s.f.);nephew/niece
no (avv.);no
noi (pron.);we
noioso (agg.);boring
noleggiare (v.t.);rent
nome (s.m.);name
non (avv.);not
nonno/a (s.m. - s.f.);grandfather
nonostante (prep. - cong.);despite
nord (s.m.);north
normale (agg.);normal
nostalgia (s.f.);nostalgia
nostro (agg. - pron.);our
notizia (s.f.);news
notte (s.f.);night
novembre (s.m.);November
novità (s.f.);novelty
nubile (agg.);maiden
nulla (avv.);nothing
numero (s.m.);number
nuora (s.f.);daughter in law
nuotare (v.int.);to swim
nuoto (s.m.);i swim
nuovo (agg.);new
nuvola (s.f.);cloud
nuvoloso (agg.);cloudy
né (cong.);nor
o (cong.);or
obbligare (v.t.);oblige
obbligatorio (agg.);obligatory
occasione (s.f.);occasion
occhiale (s.m.);eyeglasses
occhio (s.m.);eye
occupare/si (v.t. - v. int. pron.);occupy/yes
odiare (v.t.);hate
odio (s.m.);hatred
odore (s.m.);odor
offerta (s.f.);offer
offrire (v.t.);to offer
oggetto (s.m.);object
oggi (avv.);today
oggigiorno (avv.);nowadays
ogni (agg.);everything is fine
ognuno (pron.);each one
ok (inter.);ok
olio (s.m.);oil
ombrello (s.m.);umbrella
omicidio (s.m.);homocide
onesto (agg.);honest
onestà (s.f.);honesty
opera (s.f.);work
operaio/a (s.m. - s.f.);worker
opinione (s.f.);opinion
opportunità (s.f.);opportunity
opportuno (agg.);appropriate
oppure (cong.);or
ora (s.f. - avv.);now
orario (s.m.);hours
ordinare (v.t.);to order
ordine (s.m.);order
orecchio (s.m.);ear
organizzare (v.t.);to organize
organizzazione (s.f.);organization
orizzontale (agg.);horizontal
ormai (avv.);at this point
oro (s.m.);gold
orologio (s.m.);watch
orribile (agg.);horrible
ospedale (s.m.);hospital
ospitalità (s.f.);hospitality
ospite (s.m. - s.f.);guest
osservare (v.t.);to observe
ottimista (agg.);optimistic
ottimo (agg.);optimal
ottobre (s.m.);October
ovale (agg.);oval
ovest (s.m.);west
ovvio (agg.);obvious
pacco (s.m.);package
pace (s.f.);peace
padella (s.f.);pan
padre (s.m.);father
padrone/a (s.m. - s.f.);master
paesaggio (s.m.);landscape
paese (s.m.);country
paga (s.f.);pay
pagamento (s.m.);payment
pagare (v.t.);to pay
pagina (s.f.);page
paio (s.m.);couple
palazzo (s.m.);palace
palestra (s.f.);gym
palla (s.f.);ball
pallacanestro (s.f.);basketball
pane (s.m.);bread
panino (s.m.);sandwich
pantalone (s.m.);pants
papa (s.m.);pope
papà (s.m.);dad
parcheggio (s.m.);parking
parco (s.m.);park
parecchio (avv. - agg.);a lot of
parente (s.f.);relative
parentesi (s.f.);brackets
parere (s.m.);to seem
parete (s.f.);wall
parlamento (s.m.);parliament
parlare (v.t.- v.int.);to speak
parola (s.f.);word
parte (s.f.);part
partecipare (v.int.);to participate
partenza (s.f.);departure
particolarmente (avv.);particularly
partire (v.int.);to leave
partita (s.f.);match
partito (s.m.);party
pasqua (s.f.);Easter
passaggio (s.m.);passage
passaporto (s.m.);passport
passare (v.t.);to pass
passato (s.m.);past
passeggiare (v.int.);stroll
passeggiata (s.f.);stroll
passione (s.f.);passion
pasta (s.f.);pasta
pasto (s.m.);meal
patata (s.f.);potato
patente (s.f.);license
patto (s.m.);pact
paura (s.f.);fear
pausa (s.f.);break
pavimento (s.m.);floor
pazienza (s.f.);patience
pazzesco (agg.);crazy
peccato (s.m.);sin
pediatra (s.m. - s.f.);pediatrician
pedonale (agg.);pedestrian
peggio (avv. - agg.);worse
peggiorare (v.t.);get worse
peggiore (agg.);worse
pelle (s.f.);skin
pena (s.f.);punishment
penna (s.f.);pen
pensare (v.int.);to think
pensione (s.f.);pension
pentola (s.f.);pot
pepe (s.m.);pepper
per (prep.);for
pera (s.f.);pear
perché (avv. - cong.);why
perciò (cong.);therefore
perdere (v.t.);to lose
perdonare (v.t.);forgive
perfetto (agg.);perfect
perfino (avv.);even
pericoloso (agg.);dangerous
periferia (s.f.);outskirts
periodo (s.m.);period
permesso (s.m.);permit
persona (s.f.);person
personaggio (s.m.);character
personale (agg. - s.m.);personal
personalità (s.f.);personality
personalmente (avv.);personally
però (cong.);though
pesante (agg.);heavy
pesare (v.t.);to weigh
pescare (v.t.);fish
pesce (s.m.);fish
pessimista (agg.);pessimistic
pessimo (agg.);very bad
pettine (s.m.);comb
pezzo (s.m.);piece
phon (s.m.);phon
piacere (v.int - s.m.);pleasure
piacevole (agg.);pleasant
piangere (v.int.);to cry
piano (avv. - s.m.);floor
pianta (s.f.);plant
piatto (s.m.);plate
piazza (s.f.);square
piccante (agg.);spicy
piccolo (agg.);small
piede (s.m.);foot
piegare/si (v.t. - v. rifl.);fold/yes
pieno (agg. - s.m.);full
pietà (s.f.);pity
pigro (agg.);lazy
pillola (s.f.);pill
pioggia (s.f.);rain
piovere (v.int.);to rain
pipa (s.f.);pipe
piscina (s.f.);pool
pisello (s.m.);pea
pistola (s.f.);pistol
pittore/trice (s.m. - s.f.);painter/ress
pittura (s.f.);painting
piuttosto (avv.);rather
pizza (s.f.);pizza
pizzeria (s.f.);pizzeria
pizzico (s.m.);pinch
più (avv.);more
plastica (s.f.);plastic
plurale (agg. - s.m.);plural
poco (po') (agg. - avv.);little (little)
poesia (s.f.);poetry
poeta/essa (s.m. - s.f.);poet
poi (avv.);then
poiché (cong.);so long as
politica (s.f.);politics
politico (agg.);political
polizia (s.f.);police
polizza (s.f.);policy
pollo (s.m.);chicken
poltrona (s.f.);armchair
pomeriggio (s.m.);afternoon
pomodoro (s.m.);tomato
pompiere (s.m.);firemen
ponte (s.m.);bridge
pop (s.m. - agg.);pop
porco (agg.);pig
porgere (v.t.);to offer
porta (s.f.);door
portare (v.t.);to bring
porto (s.m.);port
posacenere (s.m.);ashtray
posata (s.f.);cutlery
positivo (agg.);positive
possedere (v.t.);to own
possibile (agg.);possible
possibilità (s.f.);possibility
posta (s.f.);post office
postino (s.m.);postman
posto (s.m.);place
potere (v.int.);can
povero (agg.);poor
povertà (s.f.);poverty
pranzare (v.int.);to have lunch
pranzo (s.m.);lunch
praticamente (avv.);practically
pratico (agg.);practical
prato (s.m.);meadow
precedente (agg.);previous
precedenza (s.f.);precedence
preferire (v.t.);to prefer
prefisso (s.m.);prefix
pregare (v.t.);to pray
prego (inter.);please
premere (v.t.);press
prendere (v.t.);to take
prendersela (v. t. pron.);take it
prenotare (v.t.);to book
preoccuparsi (v. int. pron.);worry
preoccupazione (s.f.);worry
preparare (v.t.);to prepare
preposizione (s.f.);preposition
presentare (v.t.);to present
presentazione (s.f.);presentation
presente (agg.);present
presenza (s.f.);presence
preside (s.m. - s.f.);principal
presidente (s.m.);president
presso (avv.);at
prestare (v.t.);lend
prestito (s.m.);loan
presto (avv.);early
prete (s.m.);priest
previsione (s.f.);prediction
prezzemolo (s.m.);parsley
prezzo (s.m.);price
prigione (s.f.);prison
prima (avv.);before
primavera (s.f.);spring
primo (agg. - s.m.);first
principale (s.m.);principal
privato (agg.);private
probabile (agg.);likely
probabilità (s.f.);chance
probabilmente (avv.);probably
problema (s.m.);problem
processo (s.m.);process
prodotto (s.m.);product
professore/ssa (s.m. - s.f.);professor
profondo (agg.);deep
profumo (s.m.);perfume
progetto (s.m.);project
programma (s.m.);program
proibire (v.t.);prohibit
promettere (v.t.);to promise
promuovere (v.t.);promote
pronome (s.m.);pronoun
pronto (agg.);ready
pronuncia (s.f.);pronounce
proporre (v.t.);to propose
proposito (s.m.);purpose
proprio (agg. - avv.);own
prosciutto (s.m.);dried ham
prossimo (agg.);next
protagonista (s.m. - s.f.);hero
proteggere (v.t.);protect
provare (v.t.);to try
provincia (s.f.);province
pubblicità (s.f.);advertising
pubblico (agg.);public
pulire (v.t.);to clean
pulizia (s.f.);cleaning
punto (s.m.);point
purché (cong.);so long as
pure (avv. - cong.);as well
puro (agg.);pure
purtroppo (avv.);unfortunately
puzza (s.f.);stink
puzzare (v.int.);stink
qua (avv.);here
quaderno (s.m.);notebook
quadrato (agg.);square
quadro (s.m. - agg.);painting
qualche (agg.);some
qualcosa (pron.);something
qualcuno (pron.);someone
quale (pron. - agg.);which
qualità (s.f.);quality
qualsiasi (pron. - agg.);any
qualunque (agg.);anyone
quando (cong. - avv.);when
quanto (agg. - pron - avv.);how much
quartiere (s.m.);quarter
quarto (s.m.);fourth
quasi (avv.);almost
quello (agg. - pron.);that
questione (s.f.);question
questo (agg. - pron.);this
questura (s.f.);preccint
qui (avv.);here
quindi (avv. - cong.);therefore
quintale (s.m.);quintal
quotidiano (s.m.);daily
racchetta (s.f.);racket
raccogliere (v.t.);to collect
raccomandarsi (v.int.pron.);recommend yourself
raccomandata (s.f.);recommended
raccontare (v.t.);to tell
radio (s.f.);radio
raffreddore (s.m.);cold
ragazzo/a (s.m. - s.f.);boy/girl
raggiungere (v.t.);to reach
ragione (s.f.);reason
rallentare (v.t.);slow down
rapina (s.f.);robbery
rapporto (s.m.);relationship
raramente (avv.);rarely
rata (s.f.);installment
reagire (v.int.);react
realizzare (v.t.);realize
realtà (s.f.);reality
reclamo (s.m.);complaint
regalare (v.t.);give
regalo (s.m.);gift
regione (s.f.);region
regista (s.m. - s.f.);director
regola (s.f.);rule
relazione (s.f.);relationship
religioso (agg.);religious
rendere (v.t.);to make
reparto (s.m.);department
repubblica (s.f.);republic
residenza (s.f.);residence
responsabile (agg. - s.m. - s.f.);responsible
responsabilità (s.f.);responsibility
restare (v.int.);to stay
restituire (v.t.);to return
resto (s.m.);rest
rettangolare (agg.);rectangular
rettore (s.m.);rector
riassumere (v.t.);summarize
ricchezza (s.f.);wealth
riccio (agg.);curly
ricco (agg.);rich
ricerca (s.f.);research
ricetta (s.f.);recipe
ricevere (v.t.);receive
ricevuta (s.f.);received
riconoscere (v.t.);to recognize
ricordare/si (v.t. - v.t. pron. - v.int. pron.);remember/yes
ricordo (s.m.);i remember
ridere (v.int.);to laugh
ridicolo (agg.);ridiculous
riferire/si (v.t. - v.int.pron.);report/yes
rifiutare (v.t.);reject
riflettere (v.int.);reflect
riguardare (v.t.);look at
rilassarsi (v. rifl.);relax
rimanere (v.int.);to remain
rimettersi (v.int.pron.);recover
ringraziare (v.t.);to thank
rinunciare (v.int.);renounce
riparare (v.t.);repair
ripetere (v.t.);to repeat
riposare/si (v.int. - v.int.pron.);rest/yes
riprendere/si (v.t. - v.int.pron.);resume/yes
riscaldamento (s.m.);heating
rischioso (agg.);risky
riscontro (s.m.);feedback
riso (s.m.);rice
risolvere (v.t.);to solve
risparmiare (v.t.);save
rispettare (v.t.);respect
rispetto (s.m.);respect
rispondere (v.int.);to answer
risposta (s.f.);answer
ristorante (s.m.);restaurant
risultato (s.m.);result
ritardo (s.m.);delay
ritirare (v.t.);withdraw
ritornare (v.int.);to return
ritrovare (v.t.);to find again
riuscire (v.int.);to succeed
rivista (s.f.);magazine
roba (s.f.);stuff
rock (s.m.);rock
romantico (agg.);romantic
romanzo (s.m.);novel
rompere/si (v.t. - v.t. pron.);break/yes
rosa (agg.);pink
rosso (agg.);red
rotatoria (s.f.);roundabout
rotondo (agg.);round
roulotte (s.f.);caravan
rubare (v.t.);steal
rumore (s.m.);noise
ruota (s.f.);wheel
ruvido (agg.);coarse
sabato (s.m.);Saturday
sacco (s.m.);sack
saggio (s.m.);wise
sala (s.f.);room
salame (s.m.);salami
salato (agg.);savory
saldo (s.m.);balance
sale (s.m.);salt
salire (v.t. - v.int.);to go up
salita (s.f.);climb
salotto (s.m.);living room
salsa (s.f.);sauce
saltare (v.t. - v.int.);to jump
salutare (v.t.);to greet
salute (s.f. - inter.);health
saluto (s.m.);greeting
salvare (v.t.);to save
salve (inter.);greetings
sandalo (s.m.);sandal
sano (agg.);healthy
santo (agg. - s.m.);holy
sapere (v.t.);to know
sapone (s.m.);soap
sapore (s.m.);taste
sbagliare/si (v.t. - v.int. - v.int. pron.);be wrong/yes
sbaglio (s.m.);i err
sbucciare (v.t.);peel
scaffale (s.m.);rack
scala (s.f.);stairs
scaricare (v.t.);download
scarpa (s.f.);shoe
scegliere (v.t.);to choose
scendere (v.t. - v.int.);to go down
scherzare (v.int.);to joke
schiera (s.f.);array
schifo (s.m.);disgust
sci (s.m.);skiing
sciare (v.int.);ski
scienza (s.f.);science
sciopero (s.m.);strike
sciroppo (s.m.);syrup
scomodo (agg.);uncomfortable
sconfiggere (v.t.);defeat
sconto (s.m.);discount
scontrino (s.m.);receipt
scopo (s.m.);purpose
scoprire (v.t.);discover
scorretto (agg.);incorrect
scorso (agg.);last
scrittore/trice (s.m. - s.f.);writer/writer
scrivania (s.f.);desk
scrivere (v.t.);to write
scultore/trice (s.m. - s.f.);sculptor/sculptor
scultura (s.f.);sculpture
scuola (s.f.);school
scuro (agg.);dark
scusa (s.f.);excuse me
scusare (v.t.);to excuse
sdraiare/si (v. t - v. rifl.);lie down/yes
se (cong.);if
sebbene (cong.);while
secco (agg.);dry
secolo (s.m.);century
secondo (s.m. - prep.  - agg.);second
sede (s.f.);headquarters
sedersi (v.int. pron.);sit
sedia (s.f.);chair
segretario/a (s.m. - s.f.);secretary
segreteria (s.f.);secretariat
seguente (agg.);following
seguire (v.t.);to follow
seguito (s.m.);followed
semaforo (s.m.);stoplight
sembrare (v.int.);to seem
semplice (agg.);simple
sempre (avv.);always
senato (s.m.);senate
sennò (cong.);otherwise
sensazione (s.f.);sensation
senso (s.m.);sense
sentimento (s.m.);feeling
sentire/si (v.t. – v.rifl. recip. – v.rifl.);feel/yes
senza (prep.- avv.);without
separare/si (v.t. – v.rifl. recip.);separate/yes
sera (s.f.);evening
serata (s.f.);evening
sereno (agg.);serene
serio (agg.);serious
servire (v. int.);to serve
servizio (s.m.);service
sesso (s.m.);sex
seta (s.f.);silk
sete (s.f.);thirst
settembre (s.m.);September
settimana (s.f.);week
settimanale (s.m.);weekly
sfortuna (s.f.);bad luck
sfruttare (v.t.);exploit
shampoo (s.m.);shampoo
si (pron.);yes
sia (cong.);is
siccome (cong.);since
sicuramente (avv.);surely
sicurezza (s.f.);security
sicuro (agg.);safe
sigaretta (s.f.);cigarette
sigaro (s.m.);cigar
significare (v.t.);to mean
significato (s.m.);meaning
signore/a (s.m. - s.f.);sir
silenzio (s.m.);silence
sillaba (s.f.);syllable
simile (agg.);similar
simpatico (agg.);nice
sindacato (s.m.);union
sindaco (s.m.);mayor
singolare (agg.);singular
singolo (agg.);single
sinistra (s.f.);left
sistema (s.m.);system
sito (s.m.);site
situazione (s.f.);situation
smettere (v.t.);to stop
sms (s.m.);sms
soccorso (s.m.);rescue
sociale (agg.);social
società (s.f.);society
socievole (agg.);sociable
socio/a (s.m. - s.f.);partner
soddisfatto (agg.);satisfied
soffitto (s.m.);ceiling
soffrire (v.int.);to suffer
soggetto (s.m.);subject
soggiorno (s.m.);living room
sognare (v.t.);to dream
sogno (s.m.);dream
soldato/essa (s.m. - s.f.);soldier
soldo (s.m.);money
sole (s.m.);sun
solido (agg.);solid
solito (agg.);usual
solitudine (s.f.);loneliness
sollecito (agg.);prompt
solo (agg. - avv.);alone
soltanto (avv.);only
soluzione (s.f.);solution
somma (s.f.);sum
sonno (s.m.);sleep
sopra (prep. - avv.);above
soprattutto (avv.);above all
sopravvivere (v.int.);survive
sordo (agg.);deaf
sorella (s.f.);sister
sorpresa (s.f.);surprise
sorridere (v.int.);smile
sospendere (v.t.);suspend
sottile (agg.);thin
sotto (prep. - avv.);under
sottolineare (v.t.);underline
sottrarre (v.t.);subtract
spaghetto (s.m.);spaghetti
sparare (v.t.);shoot
spaventare (v.t.);scare
spaventoso (agg.);frightening
spazio (s.m.);space
spazzolino (s.m.);toothbrush
specchio (s.m.);mirror
speciale (agg.);special
specializzarsi (v. int. pron.);specialize
specializzazione (s.f.);specialization
specialmente (avv.);especially
spedire (v.t.);to send
spegnere (v.t.);to turn off
spendere (v.t.);to spend
sperare (v.int.);to hope
spesa (s.f.);expense
spesso (avv. - agg.);often
spettabile (agg.);respectable
spettacolo (s.m.);show
spiaggia (s.f.);beach
spicchio (s.m.);clove
spiegare/si (v.t. – v.rifl.);explain/yes
spingere (v. t.);to push
spogliarsi (v.rifl.);undress
sporcare (v.t.);dirty
sporco (agg.);dirty
sport (s.m.);sport
sportivo (agg.);sporty
sposare/si (v.t. – v.rifl. recip.);marry/yes
spostare (v.t.);move
spuntino (s.m.);snack
squadra (s.f.);squad
stadio (s.m.);stadium
stage (s.m.);internship
stamattina (avv.);this morning
stampare (v.t.);print
stanco (agg.);tired
stanotte (avv.);tonight
stanza (s.f.);room
stare (v.int.);to be
stasera (avv.);this evening
statale (agg.);state
stato (s.m.);state
stazione (s.f.);station
stella (s.f.);star
stendere/si (v.t. - v.rifl.);lay down/yes
stesso (agg. - pron.);same
stile (s.m.);style
stipendio (s.m.);salary
stirare (v.t.);press
stiro (s.m.);ironing
stivale (s.m.);boot
stomaco (s.m.);stomach
stop (s.m.);stop
storia (s.f.);history
storico (agg.);historical
strada (s.f.);road
straniero (agg.);foreigner
strano (agg.);strange
stress (s.m.);stress
stressare (v.t.);stress
stretto (agg.);narrow
studente/ssa (s.m. - s.f.);student
studiare (v.t.);to study
studio (s.m.);study
su (prep. - avv.);on
subito (avv.);right away
succedere (v.int.);to happen
successo (s.m.);success
sud (s.m.);south
suo (agg. - pron.);his
suocero/a (s.m. - s.f.);father-in-law
suonare (v.t.);to play music
suora (s.f.);nun
superare (v.t.);to overcome
superiore (agg.);superior
supermercato (s.m.);supermarket
svantaggio (s.m.);disadvantage
svegliare/si (v.t - v.int.pron.);wake up/yes
sviluppare (v.t.);to develop
sviluppo (s.m.);development
svolgere (v.t.);to carry out
sé (pron.);if
sì (avv.);yes
tabaccaio (s.m.);tobacconist
tagliare (v.t.);to cut
tale (agg.);such
talk-show (s.m.);talk show
talvolta (avv.);sometimes
tanto (pron. - agg.);so much
tappeto (s.m.);rug
tardi (avv.);late
tariffa (s.f.);rate
tasca (s.f.);pocket
tassa (s.f.);fee
tavola (s.f.);table
tavolo (s.m.);table
taxi (s.m.);taxi
tazza (s.f.);cup
te (pron.);tea
teatro (s.m.);theater
tecnico (s.m.);technician
tecnologia (s.f.);technology
telefilm (s.m.);tv series
telefonare (v. int.);to call
telefonata (s.f.);phone call
telefono (s.m.);phone
telegiornale (s.m.);tv news
telegramma (s.m.);telegram
televisione (s.f.);television
temere (v.t.);fear
temperatura (s.f.);temperature
tempo (s.m.);weather
temporale (s.m.);storm
tenda (s.f.);tent
tenere (v.t.);to keep
tenero (agg.);tender
tennis (s.m.);tennis
tensione (s.f.);voltage
teoria (s.f.);theory
terapia (s.f.);therapy
terminare (v.t.);finish
termometro (s.m.);thermometer
termosifone (s.m.);radiator
terra (s.f.);earth
terrazza (s.f.);terrace
terribile (agg.);terrible
terrorismo (s.m.);terrorism
terrorizzare (v.t.);terrorize
testa (s.f.);head
testo (s.m.);text
tetto (s.m.);roof
ti (pron.);you
tiepido (agg.);warm
tigre (s.f.);tiger
timido (agg.);shy
tipico (agg.);typical
tipo (s.m.);type
tirare (v.t.);to pull
titolo (s.m.);title
toccare (v.t.);to touch
togliere (v.t.);to remove
tombola (s.f.);bingo
tonnellata (s.f.);tonne
tornare (v.int.);to return
torre (s.f.);tower
torta (s.f.);cake
tortellino (s.m.);tortellino
torto (s.m.);wrong
tosse (s.f.);cough
tostapane (s.m.);toaster
totale (s.m.);total
tovaglia (s.f.);tablecloth
tovagliolo (s.m.);napkin
tra (prep.);between
tradizionale (agg.);traditional
tradurre (v.t.);translate
traffico (s.m.);traffic
tragedia (s.f.);tragedy
tramonto (s.m.);sunset
tranquillità (s.f.);calm
tranquillo (agg.);calm
trascorrere (v.t.);spend
trasferirsi (v.int. pron.);move
trasformare (v.t.);to transform
traslocare (v.int.);move
trasloco (s.m.);move
trasmissione (s.f.);transmission
trasparente (agg.);transparent
trasportare (v.t.);carry
trattare (v.t.);to treat
tratto (s.m.);trait
treno (s.m.);train
tribunale (s.m.);court
triste (agg.);sad
troppo (agg. - avv.);too much
trovare/si (v.t.  - v.int. pron.);find/yes
tu (pron.);you
tuo (agg. - pron.);your
tuono (s.m.);thunder
turismo (s.m.);tourism
turista (s.m. - s.f.);tourist
tuttavia (cong.);however
tutto (agg.);everything
tv (s.f.);tv
tè (s.m.);tea
ubriacarsi (v.int.pron.);get drunk
ubriaco (agg.);drunk
uccello (s.m.);bird
uccidere (v.t.);to kill
uffa (inter.);ugh
ufficio (s.m.);office
uguale (agg.);the same
ulteriore (agg.);further
ultimo (agg.);last
umido (agg.);humid
umore (s.m.);humor
un/o/a (art. - pron.);a/o/a
unico (agg.);unique
università (s.f.);university
uomo (s.m.);man
uovo (s.m.);egg
urgente (agg.);urgent
usare (v.t.);to use
uscire (v.int.);to go out
uscita (s.f.);exit
utile (agg.);useful
utilizzare (v.t.);use
vacanza (s.f.);vacation
vaglia (s.m.);money order
vagone (s.m.);wagon
valere (v.t. - v.int.);to be worth
valigia (s.f.);suitcase
valore (s.m.);value
vantaggio (s.m.);advantage
variabile (agg.);variable
vario (agg.);varied
vasca (s.f.);basin
vaso (s.m.);vase
vecchio (agg.);old
vedere/si (v.t. - v. rifl. recip.);see/yes
vedovo (agg.);widower
vegetariano (agg.);vegetarian
veloce (agg.);fast
velocemente (avv.);quickly
velocità (s.f.);speed
vendere (v.t.);to sell
venerdì (s.m.);Friday
venire (v.int.);to come
vento (s.m.);wind
veramente (avv.);truly
verbo (s.m.);verb
verde (agg.);green
verdura (s.f.);vegetables
vergognarsi (v.int. pron.);be ashamed
verità (s.f.);truth
vero (agg.);true
versare (v.t.);deposit
verso (prep.);towards
verticale (agg.);vertical
vestirsi (v. rifl.);get dressed
vestito (s.m.);dress
vetrina (s.f.);dispay window
vetro (s.m.);glass
vi (pron.);you
via (s.f. – avv.);street
viaggiare (v.int.);to travel
viaggio (s.m.);trip
vicino (avv.);near
vietare (v.t.);prohibit
vigile/ssa (s.m. - s.f.);vigilant
villa (s.f.);villa
villaggio (s.m.);village
vincere (v.t. - v.int.);to win
vino (s.m.);wine
viola (agg.);purple
violenza (s.f.);violence
virgola (s.f.);comma
virgoletta (s.f.);quotation mark
visitare (v.t.);to visit
viso (s.m.);face
vista (s.f.);view
visto (s.m.);visa
vita (s.f.);life
vivere (v.int.);to live
vivo (agg.);live
vocale (s.f.);vocal
voce (s.f.);voice
voglia (s.f.);wants
voi (pron.);you
volare (v.int.);to fly
volentieri (avv.);i'd love that
volere (v.int.);to want
volontà (s.f.);will
volta (s.f.);time
vostro (agg. - pron.);your
votare (v.t.);vote
vuoto (agg.);empty
water (s.m.);water
zaino (s.m.);backpack
zio/a (s.m. - s.f.);uncle/daughter
zucchero (s.m.);sugar
