front;back
prima (avv.);before
primavera (s.f.);spring
primo (agg. - s.m.);first
probabile (agg.);likely
probabilmente (avv.);probably
problema (s.m.);problem
prodotto (s.m.);product
professore/ssa (s.m. - s.f.);professor
profondo (agg.);deep
profumo (s.m.);perfume
programma (s.m.);program
promettere (v.t.);to promise
promuovere (v.t.);promote
pronome (s.m.);pronoun
pronto (agg.);ready
pronuncia (s.f.);pronounce
proporre (v.t.);to propose
proprio (avv.);own
prosciutto (s.m.);dried ham
prossimo (agg.);next
protagonista (s.m. - s.f.);hero
provare (v.t.);to try
pubblicità (s.f.);advertising
pulire (v.t.);to clean
pulizia (s.f.);cleaning
punto (s.m.);point
pure (cong.);as well
purtroppo (avv.);unfortunately
qua (avv.);here
quaderno (s.m.);notebook
quadrato (agg.);square
quadro (s.m. - agg.);painting
qualche (agg.);some
qualcosa (pron.);something
qualcuno (pron.);someone
quale (pron. - agg.);which
qualsiasi (pron. - agg.);any
quando (cong. - avv.);when
quanto (agg. - pron - avv.);how much
quartiere (s.m.);quarter
quarto (s.m.);fourth
quasi (avv.);almost
quello (agg. - pron.);that
questo (agg. - pron.);this
questura (s.f.);preccint
qui (avv.);here
quindi (avv. - cong.);therefore
quotidiano (s.m.);daily
racchetta (s.f.);racket
raccogliere (v.t.);to collect
raccomandata (s.f.);recommended
raccontare (v.t.);to tell
radio (s.f.);radio
raffreddore (s.m.);cold
ragazzo/a (s.m. - s.f.);boy/girl
ragione (s.f.);reason
raramente (avv.);rarely
regalare (v.t.);give
regalo (s.m.);gift
regista (s.m. - s.f.);director
rendere (v.t.);to make
reparto (s.m.);department
restare (v.int.);to stay
restituire (v.t.);to return
resto (s.m.);rest
rettangolare (agg.);rectangular
rettore (s.m.);rector
riassumere (v.t.);summarize
riccio (agg.);curly
ricco (agg.);rich
ricetta (s.f.);recipe
ricevere (v.t.);receive
ricordare/si (v.t. - v.t. pron. -v.int.  pron.);remember/yes
ricordo (s.m.);i remember
ridere (v.int.);to laugh
rilassarsi (v. rifl.);relax
rimanere (v.int.);to remain
ringraziare (v.t.);to thank
riparare (v.t.);repair
ripetere (v.t.);to repeat
riposare/si (v.int. - v.int. pron.);rest/yes
riscaldamento (s.m.);heating
riso (s.m.);rice
rispondere (v.int.);to answer
risposta (s.f.);answer
ristorante (s.m.);restaurant
risultato (s.m.);result
ritardo (s.m.);delay
ritirare (v.t.);withdraw
ritornare (v.int.);to return
ritrovare (v.t.);to find again
riuscire (v.int.);to succeed
rivista (s.f.);magazine
rock (s.m.);rock
romantico (agg.);romantic
romanzo (s.m.);novel
rompere/si (v.t. - v.t. pron.);break/yes
rosa (agg.);pink
rosso (agg.);red
rotondo (agg.);round
roulotte (s.f.);caravan
rubare (v.t.);steal
rumore (s.m.);noise
ruota (s.f.);wheel
sabato (s.m.);Saturday
sacco (s.m.);sack
sala (s.f.);room
salame (s.m.);salami
salato (agg.);savory
saldo (s.m.);balance
sale (s.m.);salt
salire (v.t. - v.int.);to go up
salita (s.f.);climb
salotto (s.m.);living room
salsa (s.f.);sauce
saltare (v.t. - v.int.);to jump
salutare (v.t.);to greet
salute (s.f. - inter.);health
saluto (s.m.);greeting
salve (inter.);greetings
sandalo (s.m.);sandal
sano (agg.);healthy
sapere (v.t.);to know
sapone (s.m.);soap
sapore (s.m.);taste
sbagliare/si (v.t. - v.int. - v.int. pron.);be wrong/yes
sbaglio (s.m.);i err
sbucciare (v.t.);peel
scaffale (s.m.);rack
scala (s.f.);stairs
scaricare (v.t.);download
scarpa (s.f.);shoe
scegliere (v.t.);to choose
scendere (v.t. - v.int.);to go down
schiera (s.f.);array
schifo (s.m.);disgust
sci (s.m.);skiing
sciare (v.int.);ski
scienza (s.f.);science
sciopero (s.m.);strike
sciroppo (s.m.);syrup
scomodo (agg.);uncomfortable
sconto (s.m.);discount
scontrino (s.m.);receipt
scoprire (v.t.);discover
scorso (agg.);last
scrittore/trice (s.m. - s.f.);writer/writer
scrivania (s.f.);desk
scrivere (v.t.);to write
scultore/trice (s.m. - s.f.);sculptor/sculptor
scultura (s.f.);sculpture
scuola (s.f.);school
scuro (agg.);dark
scusare (v.t.);to excuse
sdraiare/si (v. t. - v. rifl.);lie down/yes
se (cong.);if
secco (agg.);dry
secolo (s.m.);century
secondo (s.m. - prep.  - agg.);second
sedersi (v.int.pron.);sit
sedia (s.f.);chair
segretario/a (s.m. - s.f.);secretary
segreteria (s.f.);secretariat
seguente (agg.);following
seguire (v.t.);to follow
semaforo (s.m.);stoplight
sembrare (v.int.);to seem
semplice (agg.);simple
sempre (avv.);always
sennò (cong.);otherwise
sentire/si (v.t. – v.rifl. recip.);feel/yes
senza (prep.- avv.);without
separare/si (v.t. – v.rifl. recip.);separate/yes
sera (s.f.);evening
serata (s.f.);evening
sereno (agg.);serene
serio (agg.);serious
servire (v. int.);to serve
seta (s.f.);silk
sete (s.f.);thirst
settembre (s.m.);September
settimana (s.f.);week
settimanale (s.m.);weekly
sfortuna (s.f.);bad luck
shampoo (s.m.);shampoo
si (pron.);yes
sia (cong.);is
siccome (cong.);since
sicuramente (avv.);surely
sicuro (agg.);safe
sigaretta (s.f.);cigarette
sigaro (s.m.);cigar
significare (v.t.);to mean
signore/a (s.m. - s.f.);sir
silenzio (s.m.);silence
simile (agg.);similar
simpatico (agg.);nice
singolare (agg.);singular
singolo (agg.);single
sinistra (s.f.);left
sito (s.m.);site
situazione (s.f.);situation
smettere (v.t.);to stop
sms (s.m.);sms
soccorso (s.m.);rescue
socievole (agg.);sociable
soffitto (s.m.);ceiling
soggetto (s.m.);subject
soggiorno (s.m.);living room
sognare (v.t.);to dream
sogno (s.m.);dream
soldo (s.m.);money
sole (s.m.);sun
solido (agg.);solid
solito (agg.);usual
solo (agg. - avv.);alone
soltanto (avv.);only
sonno (s.m.);sleep
sopra (prep. - avv.);above
soprattutto (avv.);above all
sorella (s.f.);sister
sorpresa (s.f.);surprise
sorridere (v.int.);smile
sottile (agg.);thin
sotto (prep. - avv.);under
spaghetto (s.m.);spaghetti
spaventare (v.t.);scare
spaventoso (agg.);frightening
spazzolino (s.m.);toothbrush
specchio (s.m.);mirror
speciale (agg.);special
specialmente (avv.);especially
spedire (v.t.);to send
spegnere (v.t.);to turn off
spendere (v.t.);to spend
sperare (v.int.);to hope
spesa (s.f.);expense
spesso (avv. - agg.);often
spettabile (agg.);respectable
spettacolo (s.m.);show
spiaggia (s.f.);beach
spicchio (s.m.);clove
spiegare (v.t.);to explain
spingere (v. t.);to push
spogliarsi (v.rifl.);undress
sporcare (v.t.);dirty
sporco (agg.);dirty
sport (s.m.);sport
sportivo (agg.);sporty
sposare/si (v.t. – v.rifl.recip.);marry/yes
spostare (v.t.);move
spuntino (s.m.);snack
squadra (s.f.);squad
stadio (s.m.);stadium
stage (s.m.);internship
stamattina (avv.);this morning
stampare (v.t.);print
stanco (agg.);tired
stanotte (avv.);tonight
stanza (s.f.);room
stare (v.int.);to be
stasera (avv.);this evening
stazione (s.f.);station
stella (s.f.);star
stendere/si (v.t. - v.rifl.);lay down/yes
stesso (agg.);same
stirare (v.t.);press
stiro (s.m.);ironing
stivale (s.m.);boot
stomaco (s.m.);stomach
stop (s.m.);stop
storia (s.f.);history
strada (s.f.);road
straniero (agg.);foreigner
strano (agg.);strange
stress (s.m.);stress
stressare (v.t.);stress
stretto (agg.);narrow
studente/ssa (s.m. - s.f.);student
studiare (v.t.);to study
studio (s.m.);study
su (prep. - avv.);on
subito (avv.);right away
succedere (v.int.);to happen
successo (s.m.);success
sud (s.m.);south
suo (agg. - pron.);his
suocero/a (s.m. - s.f.);father-in-law
suonare (v.t. - v.int.);to play music
superare (v.t.);to overcome
supermercato (s.m.);supermarket
svegliarsi (v.int.pron.);to wake up
svolgere (v.t.);to carry out
sì (avv.);yes
tabaccaio (s.m.);tobacconist
tagliare (v.t.);to cut
talk-show (s.m.);talk show
tanto (pron. - agg.);so much
tappeto (s.m.);rug
tardi (avv.);late
tasca (s.f.);pocket
tavolo (s.m.);table
taxi (s.m.);taxi
tazza (s.f.);cup
te (pron.);tea
teatro (s.m.);theater
tecnico (s.m.);technician
telefilm (s.m.);tv series
telefonare (v. int.);to call
telefonata (s.f.);phone call
telefono (s.m.);phone
telegiornale (s.m.);tv news
televisione (s.f.);television
temperatura (s.f.);temperature
tempo (s.m.);weather
temporale (s.m.);storm
tenda (s.f.);tent
tenere (v.t.);to keep
tenero (agg.);tender
tennis (s.m.);tennis
terminare (v.t.);finish
termometro (s.m.);thermometer
termosifone (s.m.);radiator
terra (s.f.);earth
terrazza (s.f.);terrace
terribile (agg.);terrible
testa (s.f.);head
tetto (s.m.);roof
ti (pron.);you
tiepido (agg.);warm
tigre (s.f.);tiger
timido (agg.);shy
tipo (s.m.);type
tirare (v.t.);to pull
titolo (s.m.);title
toccare (v.t.);to touch
togliere (v.t.);to remove
tombola (s.f.);bingo
tornare (v.int.);to return
torre (s.f.);tower
torta (s.f.);cake
tortellino (s.m.);tortellino
tosse (s.f.);cough
tostapane (s.m.);toaster
totale (s.m.);total
tovaglia (s.f.);tablecloth
tovagliolo (s.m.);napkin
tra (prep.);between
tradurre (v.t.);translate
traffico (s.m.);traffic
tragedia (s.f.);tragedy
tramonto (s.m.);sunset
tranquillo (agg.);calm
trascorrere (v.t.);spend
trasferirsi (v.int. pron.);move
traslocare (v.int.);move
trasloco (s.m.);move
trasmissione (s.f.);transmission
trasparente (agg.);transparent
trasportare (v.t.);carry
treno (s.m.);train
triste (agg.);sad
troppo (agg. - avv.);too much
trovare/si (v.t.  - v.int. pron.);find/yes
tu (pron.);you
tuo (agg. - pron.);your
tuono (s.m.);thunder
turista (s.m. - s.f.);tourist
tuttavia (cong.);however
tutto (agg.);everything
tv (s.f.);tv
tè (s.m.);tea
ubriacarsi (v.int.pron.);get drunk
ubriaco (agg.);drunk
uccello (s.m.);bird
ufficio (s.m.);office
uguale (agg.);the same
ulteriore (agg.);further
ultimo (agg.);last
umido (agg.);humid
umore (s.m.);humor
un/o/a (art.);a/o/a
unico (agg.);unique
università (s.f.);university
uomo (s.m.);man
uovo (s.m.);egg
usare (v.t.);to use
uscire (v.int.);to go out
uscita (s.f.);exit
utile (agg.);useful
utilizzare (v.t.);use
vacanza (s.f.);vacation
vaglia (s.m.);money order
vagone (s.m.);wagon
valigia (s.f.);suitcase
variabile (agg.);variable
vasca (s.f.);basin
vaso (s.m.);vase
vecchio (agg.);old
vedere/si (v.t. – v.rifl. recip.);see/yes
vedovo (agg.);widower
veloce (agg.);fast
velocemente (avv.);quickly
vendere (v.t.);to sell
venerdì (s.m.);Friday
venire (v.int.);to come
vento (s.m.);wind
veramente (avv.);truly
verbo (s.m.);verb
verde (agg.);green
verdura (s.f.);vegetables
vero (agg.);true
versare (v.t.);deposit
verso (prep.);towards
vestirsi (v. rifl.);get dressed
vestito (s.m.);dress
vetrina (s.f.);dispay window
vetro (s.m.);glass
vi (pron.);you
via (s.f.– avv.);street
viaggiare (v.int.);to travel
viaggio (s.m.);trip
vicino (avv.);near
vietare (v.t.);prohibit
vigile/ssa (s.m. - s.f.);vigilant
villa (s.f.);villa
villaggio (s.m.);village
vincere (v.t. - v.int.);to win
vino (s.m.);wine
viola (agg.);purple
virgola (s.f.);comma
visitare (v.t.);to visit
visto (s.m.);visa
vita (s.f.);life
vivere (v.int.);to live
vivo (agg.);live
voce (s.f.);voice
voglia (s.f.);wants
voi (pron.);you
volare (v.int.);to fly
volentieri (avv.);i'd love that
volere (v.int.);to want
volta (s.f.);time
vostro (agg. - pron.);your
vuoto (agg.);empty
water (s.m.);water
zaino (s.m.);backpack
zio/a (s.m. - s.f.);uncle/daughter
zucchero (s.m.);sugar
